JANUARY 2019,,,,,,,,,,,,,,,,,,,,,00:00 UT,,
Day,,Sid.t,,,A,,B,C,,D,E,F,G,O,I,,J,L,K,M,N,Day,
T,1,6 41 26,,,10 j 15'24,,12 h 22,23 i 51,,23 h 30,29 l56,11i46,11j23,28°R37,14 l,5,20 j 36,26°R52,27 d 34,16 k 22,28 l8,T,1
W,2,6 45 22,,,11°16'34,,25°15,25°19,,24°29,0 a36,11°59,11°30,28 a37,14° 6,,20°38,26 d 50,27°31,16°28,28° 9,W,2
T,3,6 49 19,,,12°17'45,,7 i 53,26°48,,25°28,1°17,12°11,11°37,28°36,14° 7,,20°40,26°48,27°28,16°35,28°11,T,3
F,4,6 53 15,,,13°18'55,,20°20,28°17,,26°28,1°57,12°24,11°44,28°36,14° 9,,20°42,26°46,27°25,16°42,28°12,F,4
S,5,6 57 12,,,14°20'06,,2 j 35,29°46,,27°29,2°38,12°36,11°51,28°36,14°10,,20°44,26°44,27°21,16°48,28°13,S,5
S,6,7,1,8,15°21'17,,14°41,1 j 16,,28°30,3°18,12°49,11°58,28°36,14°11,,20°46,26°43,27°18,16°55,28°15,S,6
M 7,,7,5,5,16°22'28,,26°39,2°47,,29°31,3°58,13° 1,12° 5,28°D36,14°13,,20°48,26°D43,27°15,17° 2,28°16,M 7,
T,8,7,9,2,17°23'39,,8 k 31,4°18,,0 i 33,4°39,13°13,12°12,28°36,14°14,,20°50,26°43,27°12,17° 8,28°18,T,8
W9,,7 12 58,,,18°24'49,,20°19,5°49,,1°35,5°19,13°25,12°19,28°36,14°16,,20°52,26°44,27° 9,17°15,28°20,W9,
T 10,,7 16 55,,,19°25'59,,2 l6,7°21,,2°37,6° 0,13°37,12°26,28°36,14°17,,20°54,26°45,27° 5,17°22,28°21,T 10,
F 11,,7 20 51,,,20°27'09,,13°55,8°53,,3°40,6°41,13°50,12°33,28°36,14°19,,20°56,26°45,27° 2,17°28,28°23,F 11,
S 12,,7 24 48,,,21°28'18,,25°51,10°26,,4°43,7°21,14° 2,12°40,28°37,14°20,,20°58,26°46,26°59,17°35,28°25,S 12,
S 13,,7 28 44,,,22°29'26,,7 a 56,11°59,,5°46,8° 2,14°14,12°47,28°37,14°22,,21° 0,26°46,26°56,17°42,28°27,S 13,
M14,,7 32 41,,,23°30'34,,20°16,13°32,,6°50,8°42,14°25,12°55,28°37,14°23,,21° 2,26°R47,26°53,17°48,28°28,M14,
T 15,,7 36 37,,,24°31'42,,2 b 55,15° 6,,7°54,9°23,14°37,13° 2,28°38,14°25,,21° 4,26°47,26°50,17°55,28°30,T 15,
W16,,7 40 34,,,25°32'48,,15°57,16°41,,8°58,10° 3,14°49,13° 9,28°38,14°26,,21° 6,26°46,26°46,18° 2,28°32,W16,
T 17,,7 44 31,,,26°33'54,,29°26,18°16,,10° 3,10°44,15° 1,13°15,28°39,14°28,,21° 8,26°D46,26°43,18° 8,28°34,T 17,
F 18,,7 48 27,,,27°34'59,,13 c 21,19°51,,11° 8,11°25,15°12,13°22,28°39,14°30,,21°10,26°46,26°40,18°15,28°36,F 18,
S 19,,7 52 24,,,28°36'04,,27°44,21°28,,12°13,12° 5,15°24,13°29,28°40,14°32,,21°12,26°47,26°37,18°22,28°38,S 19,
S 20,,7 56 20,,,29°37'07,,12 d 29,23° 4,,13°18,12°46,15°35,13°36,28°41,14°33,,21°14,26°47,26°34,18°28,28°41,S 20,
M21,,8,0 17,,0k 38'10,,27°32,24°41,,14°24,13°27,15°47,13°43,28°41,14°35,,21°16,26°R47,26°31,18°35,28°43,M21,
T 22,,8,4 13,,1°39'13,,12 e 43,26°19,,15°29,14° 7,15°58,13°50,28°42,14°37,,21°18,26°47,26°27,18°42,28°45,T 22,
W23,,8,8 10,,2°40'14,,27°53,27°57,,16°36,14°48,16° 9,13°57,28°43,14°39,,21°20,26°46,26°24,18°48,28°47,W23,
T 24,,8 12,,6,3°41'16,,12 f 52,29°36,,17°42,15°29,16°20,14° 4,28°44,14°40,,21°22,26°46,26°21,18°55,28°49,T 24,
F 25,,8 16,,3,4°42'16,,27°34,1 k 15,,18°48,16° 9,16°31,14°11,28°45,14°42,,21°24,26°45,26°18,19° 1,28°52,F 25,
S 26,,8 20,,0,5°43'16,,11 g 52,2°55,,19°55,16°50,16°42,14°17,28°46,14°44,,21°26,26°44,26°15,19° 8,28°54,S 26,
S 27,,8 23 56,,,6°44'15,,25°45,4°36,,21° 2,17°30,16°53,14°24,28°47,14°46,,21°28,26°43,26°11,19°15,28°57,S 27,
M28,,8 27 53,,,7°45'14,,9 h 12,6°17,,22° 9,18°11,17° 4,14°31,28°48,14°48,,21°30,26°D43,26° 8,19°21,28°59,M28,
T 29,,8 31 49,,,8°46'12,,22°15,7°59,,23°17,18°52,17°15,14°38,28°49,14°50,,21°32,26°43,26° 5,19°28,29° 2,T 29,
W30,,8 35 46,,,9°47'10,,4 i 58,9°42,,24°24,19°32,17°25,14°44,28°50,14°52,,21°34,26°44,26° 2,19°35,29° 4,W30,
T 31,,8 39 42,,,10 k 48'07,,17 i 24,11 k 25,,25 i 32,20 a13,17i36,14j51,28a51,14 l 54,,21 j 36,26 d 45,25 d 59,19 k 41,29 l7,T 31,
